Open,High,Low,Close,Volume
1.1212,1.12121,1.12117,1.1212,0
1.12106,1.12135,1.12106,1.12135,0
1.12136,1.12139,1.12136,1.12139,0
1.12135,1.12135,1.1212,1.12122,0
1.12122,1.12125,1.12122,1.12125,0
1.12125,1.12127,1.12125,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12127,1.12123,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12127,1.12135,1.12127,1.12127,0
1.12127,1.12127,1.12127,1.12127,0
1.12128,1.12154,1.12128,1.12152,0
1.12152,1.12154,1.12148,1.12151,0
1.12151,1.12151,1.12135,1.12146,0
1.12144,1.12145,1.12138,1.1214,0
1.12139,1.12149,1.12137,1.12147,0
1.12147,1.12147,1.12147,1.12147,0
1.12151,1.12151,1.12145,1.12145,0
1.12146,1.12153,1.12146,1.12146,0
1.12146,1.12146,1.12146,1.12146,0
1.12146,1.12147,1.12141,1.12141,0
1.12141,1.12141,1.12141,1.12141,0
1.12142,1.12142,1.12139,1.12139,0
1.12139,1.12146,1.12139,1.12146,0
1.12147,1.12151,1.12138,1.12146,0
1.12146,1.12148,1.12144,1.12147,0
1.12147,1.12152,1.12147,1.12148,0
1.12148,1.12148,1.12145,1.12145,0
1.12151,1.12151,1.12146,1.12147,0
1.12148,1.12153,1.12147,1.1215,0
1.1215,1.1215,1.1215,1.1215,0
1.12154,1.12154,1.12151,1.12151,0
1.12154,1.12155,1.12152,1.12153,0
1.12153,1.12153,1.12152,1.12152,0
1.12154,1.12154,1.12154,1.12154,0
1.12154,1.12155,1.12154,1.12155,0
1.12155,1.12155,1.12154,1.12154,0
1.12156,1.12156,1.12154,1.12155,0
1.12155,1.12156,1.12154,1.12154,0
1.12155,1.12158,1.12154,1.12158,0
1.12156,1.12158,1.12154,1.12154,0
1.12154,1.12158,1.12154,1.12154,0
1.12154,1.12157,1.12154,1.12154,0
1.12156,1.12162,1.12154,1.12154,0
1.12155,1.12166,1.12154,1.12159,0
1.12159,1.12162,1.12155,1.12155,0
1.12156,1.1216,1.12156,1.12156,0
1.12155,1.12157,1.12155,1.12157,0
1.12156,1.12157,1.12155,1.12155,0
1.12155,1.12155,1.12155,1.12155,0
1.12155,1.12155,1.12154,1.12154,0
1.12154,1.12154,1.12149,1.12151,0
1.12151,1.12152,1.12146,1.12146,0
1.12146,1.12148,1.12143,1.12143,0
1.12143,1.1217,1.12142,1.1217,0
1.12168,1.12198,1.12167,1.12184,0
1.12184,1.12206,1.12175,1.12193,0
1.12193,1.12218,1.1218,1.12181,0
1.12183,1.12196,1.12183,1.12185,0
1.12191,1.12201,1.12185,1.1219,0
1.1219,1.12197,1.1219,1.12192,0
1.12197,1.12201,1.12194,1.12199,0
1.12198,1.12205,1.12197,1.122,0
1.122,1.12201,1.12196,1.122,0
1.12201,1.12201,1.122,1.12201,0
1.12201,1.12207,1.12201,1.12202,0
1.12203,1.12204,1.122,1.12201,0
1.12204,1.12204,1.12201,1.12202,0
1.12202,1.12202,1.12202,1.12202,0
1.12201,1.12201,1.122,1.12201,0
1.12201,1.12201,1.12201,1.12201,0
1.12201,1.12201,1.12197,1.12197,0
1.12196,1.12196,1.12195,1.12195,0
1.12196,1.12198,1.12196,1.12198,0
1.12198,1.12199,1.12197,1.12198,0
1.12198,1.12204,1.12198,1.12201,0
1.12202,1.12202,1.12202,1.12202,0
1.12202,1.12205,1.12201,1.12205,0
1.12204,1.12206,1.12204,1.12205,0
1.12206,1.12206,1.12205,1.12205,0
1.12205,1.12206,1.12205,1.12205,0
1.12205,1.12206,1.12205,1.12205,0
1.12207,1.12207,1.12206,1.12206,0
1.12206,1.1221,1.12206,1.1221,0
1.1221,1.12211,1.1221,1.1221,0
1.1221,1.12215,1.12209,1.12215,0
